0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 14
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 12
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 12
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 12
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 12
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 14
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 12
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 12
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 12
0, 12
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 12
0, 12
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 12
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 12
0, 12
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 12
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 12
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 12
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 13
0, 13
0, 13
0, 13
0, 14
0, 13
0, 13
0, 13
0, 13
0, 14
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 12
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 12
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 12
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 14
0, 14
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
0, 13
